ano,filiados,mes,sigla
2010,1782,6,PT
2010,437,6,PTB
2010,1364,6,PSDB
2010,9,4,PPL
2010,1393,4,DEM
2010,271,4,PMN
2010,2374,4,PP
2010,3,4,PSTU
2010,1545,4,PV
2010,488,4,PSDC
2010,4816,4,PMDB
2010,148,4,PRTB
2010,9,4,PSD
2010,634,4,PPS
2010,1441,4,PRB
2010,583,4,PHS
2010,799,4,PSOL
2010,1766,4,PSB
2010,11,4,PCB
2010,1717,4,PR
2010,326,4,PSL
2010,272,4,PT DO B
2010,435,4,PTC
2010,834,4,PC DO B
2010,3263,4,PSC
2010,143,4,PRP
2010,2652,4,PDT
2010,330,4,PTN
2010,3101,4,PT
2010,2088,4,PTB
2010,3612,4,PSDB
2010,19,7,PPL
2010,543,7,DEM
2010,119,7,PMN
2010,404,7,PP
2010,23,7,PSTU
2010,483,7,PV
2010,37,7,PSDC
2010,1437,7,PMDB
2010,16,7,PRTB
2010,6,7,PSD
2010,141,7,PPS
2010,284,7,PRB
2010,52,7,PHS
2010,128,7,PSOL
2010,599,7,PSB
2010,5,7,PCB
2010,460,7,PR
2010,105,7,PSL
2010,304,7,PT DO B
2010,496,7,PTC
2010,346,7,PC DO B
2010,741,7,PSC
2010,274,7,PRP
2010,850,7,PDT
2010,331,7,PTN
2010,1584,7,PT
2010,515,7,PTB
2010,1082,7,PSDB
2010,5,1,PPL
2010,1,1,PCO
2010,404,1,DEM
2010,469,1,PMN
2010,619,1,PP
2010,25,1,PSTU
2010,543,1,PV
2010,145,1,PSDC
2010,1674,1,PMDB
2010,106,1,PRTB
2010,12,1,PSD
2010,232,1,PPS
2010,476,1,PRB
2010,244,1,PHS
2010,315,1,PSOL
2010,1086,1,PSB
2010,7,1,PCB
2010,465,1,PR
2010,125,1,PSL
2010,165,1,PT DO B
2010,126,1,PTC
2010,721,1,PC DO B
2010,469,1,PSC
2010,117,1,PRP
2010,1339,1,PDT
2010,221,1,PTN
2010,1985,1,PT
2010,846,1,PTB
2010,1258,1,PSDB
2010,11,2,PPL
2010,255,2,DEM
2010,39,2,PMN
2010,565,2,PP
2010,2,2,PSTU
2010,570,2,PV
2010,142,2,PSDC
2010,829,2,PMDB
2010,99,2,PRTB
2010,5,2,PSD
2010,406,2,PPS
2010,409,2,PRB
2010,153,2,PHS
2010,321,2,PSOL
2010,445,2,PSB
2010,3,2,PCB
2010,345,2,PR
2010,84,2,PSL
2010,53,2,PT DO B
2010,249,2,PTC
2010,397,2,PC DO B
2010,416,2,PSC
2010,51,2,PRP
2010,1240,2,PDT
2010,175,2,PTN
2010,1514,2,PT
2010,387,2,PTB
2010,1560,2,PSDB
2010,9,12,PPL
2010,220,12,DEM
2010,150,12,PMN
2010,452,12,PP
2010,1,12,PSTU
2010,371,12,PV
2010,76,12,PSDC
2010,972,12,PMDB
2010,49,12,PRTB
2010,3,12,PSD
2010,198,12,PPS
2010,221,12,PRB
2010,92,12,PHS
2010,262,12,PSOL
2010,243,12,PSB
2010,7,12,PCB
2010,189,12,PR
2010,101,12,PSL
2010,74,12,PT DO B
2010,29,12,PTC
2010,406,12,PC DO B
2010,123,12,PSC
2010,223,12,PRP
2010,877,12,PDT
2010,112,12,PTN
2010,3880,12,PT
